"12-2021","Dezembro 2021",167155,20192
"02-2022","Fevereiro 2022",167155,30072
"01-2022","Janeiro 2022",167155,10090
"03-2022","Março 2022",175206,10042
"05-2022","Maio 2022",175206,10030
"04-2022","Abril 2022",175206,10090
"04-2022","Abril 2022",175191,10150
"05-2022","Maio 2022",175191,10024
"06-2022","Junho 2022",175191,18
"04-2022","Abril 2022",175188,10510
"05-2022","Maio 2022",175188,10048
"04-2022","Abril 2022",175182,10540
"05-2022","Maio 2022",175182,10066
"10-2022","Outubro 2022",175182,354
"04-2022","Abril 2022",175190,10204
"05-2022","Maio 2022",175190,10000
"06-2022","Junho 2022",175190,78
"04-2022","Abril 2022",175189,10006
"05-2022","Maio 2022",175189,10000
"04-2022","Abril 2022",175193,11956
"05-2022","Maio 2022",175193,10300
"06-2022","Junho 2022",175193,240
"04-2022","Abril 2022",175194,10276
"05-2022","Maio 2022",175194,10012
"06-2022","Junho 2022",175194,72
"12-2021","Dezembro 2021",166009,20510
"02-2022","Fevereiro 2022",166009,30060
"01-2022","Janeiro 2022",166009,10090
"03-2022","Março 2022",173635,10276
"05-2022","Maio 2022",173635,10126
"04-2022","Abril 2022",173635,10348
"01-2022","Janeiro 2022",167173,10024
"02-2022","Fevereiro 2022",167173,30012
"03-2022","Março 2022",175227,10012
"04-2022","Abril 2022",175227,10018
"05-2022","Maio 2022",175227,10000
"12-2021","Dezembro 2021",167256,20006
"02-2022","Fevereiro 2022",167256,6
"02-2022","Fevereiro 2022",167256,30000
"01-2022","Janeiro 2022",167256,10006
"03-2022","Março 2022",175307,10000
"05-2022","Maio 2022",175307,10000
"04-2022","Abril 2022",175307,10000
"12-2021","Dezembro 2021",167209,20054
"01-2022","Janeiro 2022",167209,10030
"02-2022","Fevereiro 2022",167209,30000
"12-2021","Dezembro 2021",167272,20006
"01-2022","Janeiro 2022",167272,10018
"02-2022","Fevereiro 2022",167272,30000
"03-2022","Março 2022",175263,10036
"05-2022","Maio 2022",175263,10006
"04-2022","Abril 2022",175263,10000
"05-2022","Maio 2022",175266,10018
"03-2022","Março 2022",175321,10024
"05-2022","Maio 2022",175321,10006
"04-2022","Abril 2022",175321,10012
"03-2022","Março 2022",175436,10000
"05-2022","Maio 2022",175436,10000
"04-2022","Abril 2022",175436,10000
"02-2022","Fevereiro 2022",167162,30042
"03-2022","Março 2022",175213,10042
"05-2022","Maio 2022",175213,10000
"04-2022","Abril 2022",175213,10024
"03-2022","Março 2022",175439,10000
"05-2022","Maio 2022",175439,10000
"04-2022","Abril 2022",175439,10000
"03-2022","Março 2022",175434,10000
"05-2022","Maio 2022",175434,10000
"04-2022","Abril 2022",175434,10000
"12-2021","Dezembro 2021",166036,20180
"02-2022","Fevereiro 2022",166036,30024
"01-2022","Janeiro 2022",166036,10030
"03-2022","Março 2022",173659,10138
"05-2022","Maio 2022",173659,10000
"04-2022","Abril 2022",173659,10090
"05-2022","Maio 2022",173659,18
"02-2022","Fevereiro 2022",200619,24
"01-2022","Janeiro 2022",167224,10084
"02-2022","Fevereiro 2022",167224,30036
"03-2022","Março 2022",175300,10030
"05-2022","Maio 2022",175300,10030
"04-2022","Abril 2022",175300,10090
"01-2022","Janeiro 2022",167231,10168
"02-2022","Fevereiro 2022",167231,30066
"03-2022","Março 2022",175288,10096
"04-2022","Abril 2022",175288,10120
"05-2022","Maio 2022",175288,10012
"06-2022","Junho 2022",175288,108
"01-2022","Janeiro 2022",167226,10060
"02-2022","Fevereiro 2022",167226,30030
"12-2021","Dezembro 2021",167250,20036
"01-2022","Janeiro 2022",167250,10054
"02-2022","Fevereiro 2022",167250,30012
"03-2022","Março 2022",175283,10036
"04-2022","Abril 2022",175283,10012
"05-2022","Maio 2022",175283,10036
"03-2022","Março 2022",175281,10096
"04-2022","Abril 2022",175281,10036
"05-2022","Maio 2022",175281,10000
"06-2022","Junho 2022",175281,42
"12-2021","Dezembro 2021",166011,20342
"02-2022","Fevereiro 2022",166011,30054
"01-2022","Janeiro 2022",166011,10132
"03-2022","Março 2022",173637,10210
"05-2022","Maio 2022",173637,10000
"04-2022","Abril 2022",173637,10174
"05-2022","Maio 2022",173637,54
"12-2021","Dezembro 2021",167099,20306
"02-2022","Fevereiro 2022",167099,12
"02-2022","Fevereiro 2022",167099,30042
"01-2022","Janeiro 2022",167099,10174
"03-2022","Março 2022",175140,10228
"04-2022","Abril 2022",175140,10108
"05-2022","Maio 2022",175140,10090
"12-2021","Dezembro 2021",167211,20042
"02-2022","Fevereiro 2022",167211,30012
"01-2022","Janeiro 2022",167211,10024
"03-2022","Março 2022",175265,10042
"04-2022","Abril 2022",175265,10036
"05-2022","Maio 2022",175265,10042
