"05-2022","Maio 2022",176547,444
"06-2022","Junho 2022",176547,120
"04-2022","Abril 2022",176551,510
"05-2022","Maio 2022",176551,150
"06-2022","Junho 2022",176551,48
"04-2022","Abril 2022",176555,762
"05-2022","Maio 2022",176555,234
"06-2022","Junho 2022",176555,66
"04-2022","Abril 2022",176559,486
"05-2022","Maio 2022",176559,198
"06-2022","Junho 2022",176559,30
"04-2022","Abril 2022",176563,96
"05-2022","Maio 2022",176563,72
"06-2022","Junho 2022",176563,48
"04-2022","Abril 2022",176566,906
"05-2022","Maio 2022",176566,228
"06-2022","Junho 2022",176566,66
"04-2022","Abril 2022",176569,534
"05-2022","Maio 2022",176569,144
"06-2022","Junho 2022",176569,84
"04-2022","Abril 2022",176573,1284
"05-2022","Maio 2022",176573,378
"06-2022","Junho 2022",176573,96
"04-2022","Abril 2022",176576,798
"05-2022","Maio 2022",176576,258
"06-2022","Junho 2022",176576,48
"04-2022","Abril 2022",176580,372
"05-2022","Maio 2022",176580,36
"06-2022","Junho 2022",176580,24
"04-2022","Abril 2022",176584,48
"05-2022","Maio 2022",176584,36
"04-2022","Abril 2022",176588,12
"05-2022","Maio 2022",176588,18
"06-2022","Junho 2022",176588,12
"04-2022","Abril 2022",176592,96
"05-2022","Maio 2022",176592,6
"06-2022","Junho 2022",176592,30
"07-2022","Julho 2022",176596,42
"05-2022","Maio 2022",176596,6
"06-2022","Junho 2022",176596,6
"04-2022","Abril 2022",176600,24
"05-2022","Maio 2022",176600,6
"06-2022","Junho 2022",176600,12
"04-2022","Abril 2022",176604,36
"05-2022","Maio 2022",176604,6
"06-2022","Junho 2022",176604,12
"04-2022","Abril 2022",176612,18
"04-2022","Abril 2022",176616,558
"05-2022","Maio 2022",176616,78
"06-2022","Junho 2022",176616,18
"04-2022","Abril 2022",176620,222
"05-2022","Maio 2022",176620,90
"06-2022","Junho 2022",176620,12
"04-2022","Abril 2022",176624,120
"05-2022","Maio 2022",176624,126
"06-2022","Junho 2022",176624,30
"04-2022","Abril 2022",176628,102
"05-2022","Maio 2022",176628,60
"06-2022","Junho 2022",176628,6
"04-2022","Abril 2022",176632,234
"05-2022","Maio 2022",176632,78
"06-2022","Junho 2022",176632,24
"04-2022","Abril 2022",176636,36
"05-2022","Maio 2022",176636,30
"06-2022","Junho 2022",176636,12
"04-2022","Abril 2022",176640,12
"05-2022","Maio 2022",176640,42
"06-2022","Junho 2022",176640,12
"04-2022","Abril 2022",176644,6
"04-2022","Abril 2022",176648,420
"05-2022","Maio 2022",176648,114
"06-2022","Junho 2022",176648,12
"04-2022","Abril 2022",176652,174
"05-2022","Maio 2022",176652,78
"06-2022","Junho 2022",176652,30
"04-2022","Abril 2022",176656,576
"05-2022","Maio 2022",176656,156
"06-2022","Junho 2022",176656,36
"04-2022","Abril 2022",176660,66
"05-2022","Maio 2022",176660,30
"06-2022","Junho 2022",176660,18
"04-2022","Abril 2022",176663,144
"05-2022","Maio 2022",176663,66
"06-2022","Junho 2022",176663,72
"04-2022","Abril 2022",176667,540
"05-2022","Maio 2022",176667,150
"06-2022","Junho 2022",176667,96
"04-2022","Abril 2022",176671,408
"05-2022","Maio 2022",176671,120
"06-2022","Junho 2022",176671,36
"04-2022","Abril 2022",176675,78
"05-2022","Maio 2022",176675,42
"06-2022","Junho 2022",176675,6
"04-2022","Abril 2022",176679,600
"05-2022","Maio 2022",176679,138
"06-2022","Junho 2022",176679,78
"04-2022","Abril 2022",176683,132
"05-2022","Maio 2022",176683,48
"06-2022","Junho 2022",176683,42
"04-2022","Abril 2022",176687,90
"05-2022","Maio 2022",176687,30
"06-2022","Junho 2022",176687,6
"04-2022","Abril 2022",176757,12
"04-2022","Abril 2022",176761,12
"04-2022","Abril 2022",176765,42
"05-2022","Maio 2022",176765,30
"06-2022","Junho 2022",176765,6
"04-2022","Abril 2022",176769,6
"05-2022","Maio 2022",176769,18
"04-2022","Abril 2022",176792,144
"05-2022","Maio 2022",176792,84
"06-2022","Junho 2022",176792,30
"04-2022","Abril 2022",176795,66
"05-2022","Maio 2022",176795,72
"06-2022","Junho 2022",176795,24
"04-2022","Abril 2022",176798,108
"05-2022","Maio 2022",176798,12
"06-2022","Junho 2022",176798,36
"04-2022","Abril 2022",176801,12
"05-2022","Maio 2022",176801,30
"06-2022","Junho 2022",176801,30
"04-2022","Abril 2022",176804,6
"05-2022","Maio 2022",176804,18
"06-2022","Junho 2022",176804,12
"04-2022","Abril 2022",176807,6
"04-2022","Abril 2022",176814,24
"06-2022","Junho 2022",176814,6
"04-2022","Abril 2022",176817,12
"04-2022","Abril 2022",176823,12
"04-2022","Abril 2022",176827,486
"05-2022","Maio 2022",176827,96
"06-2022","Junho 2022",176827,66
"04-2022","Abril 2022",176830,96
"05-2022","Maio 2022",176830,36
"06-2022","Junho 2022",176830,30
"04-2022","Abril 2022",176836,48
"05-2022","Maio 2022",176836,6
"06-2022","Junho 2022",176836,24
"04-2022","Abril 2022",176839,12
"05-2022","Maio 2022",176839,18
"06-2022","Junho 2022",176839,6
"04-2022","Abril 2022",176964,12
"05-2022","Maio 2022",176964,18
"06-2022","Junho 2022",176964,6
"04-2022","Abril 2022",176967,42
"06-2022","Junho 2022",176967,6
"04-2022","Abril 2022",177018,12
"05-2022","Maio 2022",177018,6
"04-2022","Abril 2022",177022,12
"05-2022","Maio 2022",177022,12
"07-2022","Julho 2022",177054,990
"05-2022","Maio 2022",177054,270
"06-2022","Junho 2022",177054,90
"04-2022","Abril 2022",177057,6
"04-2022","Abril 2022",177064,78
"05-2022","Maio 2022",177064,18
"06-2022","Junho 2022",177064,12
"04-2022","Abril 2022",177068,24
"05-2022","Maio 2022",177068,18
"06-2022","Junho 2022",177068,12
"04-2022","Abril 2022",177072,42
"06-2022","Junho 2022",177072,6
"04-2022","Abril 2022",177076,630
"05-2022","Maio 2022",177076,120
"06-2022","Junho 2022",177076,144
"04-2022","Abril 2022",177080,114
"05-2022","Maio 2022",177080,54
"06-2022","Junho 2022",177080,18
"04-2022","Abril 2022",177084,360
"05-2022","Maio 2022",177084,108
"06-2022","Junho 2022",177084,78
"04-2022","Abril 2022",177087,354
"05-2022","Maio 2022",177087,180
"06-2022","Junho 2022",177087,96
"04-2022","Abril 2022",177126,30
"05-2022","Maio 2022",177126,18
"06-2022","Junho 2022",177126,42
"04-2022","Abril 2022",177130,6
"05-2022","Maio 2022",177130,24
"04-2022","Abril 2022",177133,96
"05-2022","Maio 2022",177133,18
"06-2022","Junho 2022",177133,24
"04-2022","Abril 2022",177136,66
"05-2022","Maio 2022",177136,30
"06-2022","Junho 2022",177136,30
"04-2022","Abril 2022",177139,54
"05-2022","Maio 2022",177139,54
"06-2022","Junho 2022",177139,6
"04-2022","Abril 2022",177142,18
"05-2022","Maio 2022",177142,18
"04-2022","Abril 2022",177143,30
"05-2022","Maio 2022",177143,12
"06-2022","Junho 2022",177143,18
"04-2022","Abril 2022",177150,90
"05-2022","Maio 2022",177150,42
"04-2022","Abril 2022",177154,18
"04-2022","Abril 2022",177157,24
"05-2022","Maio 2022",177157,18
"06-2022","Junho 2022",177157,6
"04-2022","Abril 2022",177164,36
"05-2022","Maio 2022",177164,6
"06-2022","Junho 2022",177164,6
"04-2022","Abril 2022",177167,24
"05-2022","Maio 2022",177167,24
"06-2022","Junho 2022",177167,18
"04-2022","Abril 2022",177170,12
"05-2022","Maio 2022",177170,6
"04-2022","Abril 2022",177173,24
"04-2022","Abril 2022",177227,420
"05-2022","Maio 2022",177227,126
"06-2022","Junho 2022",177227,54
"04-2022","Abril 2022",177230,186
"05-2022","Maio 2022",177230,72
"06-2022","Junho 2022",177230,30
"04-2022","Abril 2022",177233,96
"05-2022","Maio 2022",177233,54
"06-2022","Junho 2022",177233,30
"04-2022","Abril 2022",177236,90
"05-2022","Maio 2022",177236,90
"06-2022","Junho 2022",177236,42
"04-2022","Abril 2022",177239,66
"05-2022","Maio 2022",177239,84
"06-2022","Junho 2022",177239,42
"04-2022","Abril 2022",177246,438
"05-2022","Maio 2022",177246,78
"06-2022","Junho 2022",177246,30
"04-2022","Abril 2022",177249,60
"05-2022","Maio 2022",177249,18
"06-2022","Junho 2022",177249,6
"04-2022","Abril 2022",177252,102
"05-2022","Maio 2022",177252,42
"06-2022","Junho 2022",177252,6
"04-2022","Abril 2022",177255,36
"05-2022","Maio 2022",177255,6
"04-2022","Abril 2022",177261,84
"05-2022","Maio 2022",177261,66
"06-2022","Junho 2022",177261,24
"04-2022","Abril 2022",177265,528
"05-2022","Maio 2022",177265,174
"06-2022","Junho 2022",177265,72
"04-2022","Abril 2022",177268,48
"05-2022","Maio 2022",177268,42
"06-2022","Junho 2022",177268,12
"04-2022","Abril 2022",177273,1464
"05-2022","Maio 2022",177273,246
"06-2022","Junho 2022",177273,96
"04-2022","Abril 2022",177276,120
"05-2022","Maio 2022",177276,120
"06-2022","Junho 2022",177276,24
"04-2022","Abril 2022",177279,504
"05-2022","Maio 2022",177279,210
"06-2022","Junho 2022",177279,66
"04-2022","Abril 2022",177357,24
"05-2022","Maio 2022",177357,18
"06-2022","Junho 2022",177357,6
"04-2022","Abril 2022",177415,24
"05-2022","Maio 2022",177415,6
"04-2022","Abril 2022",177419,12
"05-2022","Maio 2022",177419,6
"04-2022","Abril 2022",177439,678
"05-2022","Maio 2022",177439,168
"06-2022","Junho 2022",177439,48
"04-2022","Abril 2022",177442,420
"05-2022","Maio 2022",177442,192
"06-2022","Junho 2022",177442,54
"04-2022","Abril 2022",177446,798
"05-2022","Maio 2022",177446,264
"06-2022","Junho 2022",177446,42
"04-2022","Abril 2022",177450,294
"05-2022","Maio 2022",177450,144
"06-2022","Junho 2022",177450,36
"04-2022","Abril 2022",177489,6
"04-2022","Abril 2022",177493,180
"05-2022","Maio 2022",177493,72
"06-2022","Junho 2022",177493,30
"04-2022","Abril 2022",177497,96
"05-2022","Maio 2022",177497,72
"06-2022","Junho 2022",177497,36
"04-2022","Abril 2022",177501,12
"05-2022","Maio 2022",177501,12
"04-2022","Abril 2022",177505,96
